
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1912.
Date:,"Wed, 29 May 2024",  Prob (F-statistic):,  0.00
Time:,08:37:56,  Log-Likelihood:    , -7770.1
No. Observations:,  7079,  AIC:               ,1.829e+04
Df Residuals:,  5702,  BIC:               ,2.775e+04
Df Model:,  1377,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
"Cliente_IRANI PAPEL E EMBALAGEM S,A,",    5.5997,    0.833,    6.724, 0.000,    3.967,    7.232
"Cliente_IRIZAR BRASIL LTDA,",    4.5854,    0.749,    6.118, 0.000,    3.116,    6.055
Cliente_IRMAOS COUTINHO INDUSTRIA DE COUROS S/A,    1.4269,    0.951,    1.501, 0.133,   -0.437,    3.291
Cliente_ISOGAMA INDUSTRIA QUIMICA LTDA,    2.9170,    0.922,    3.162, 0.002,    1.109,    4.725
"Cliente_ISOLET INDUSTRIA E COMERCIO LTDA,",    3.0739,    1.052,    2.921, 0.003,    1.011,    5.137
Cliente_ITABUNA TEXTIL S/A,    3.8907,    0.851,    4.571, 0.000,    2.222,    5.559
Cliente_ITAESBRA INDUSTRIA MECANICA LTDA,    4.0187,    1.052,    3.821, 0.000,    1.957,    6.080
Cliente_ITAFUNDI COMERCIO E INDUSTRIA LTDA,    1.1609,    1.066,    1.089, 0.276,   -0.930,    3.252
Cliente_ITAMARATI INDUSTRIA DE COMPENSADOS LTDA,    3.9061,    1.330,    2.938, 0.003,    1.300,    6.513
"Cliente_ITAP/BEMIS LTDA,",    3.7551,    0.882,    4.256, 0.000,    2.025,    5.485
Cliente_ITAPINUS IND E COM DE MADEIRAS LTDA,    3.7775,    1.061,    3.561, 0.000,    1.698,    5.857
"Cliente_ITAUTEC S,A, - GRUPO ITAUTEC",    5.1265,    0.825,    6.212, 0.000,    3.509,    6.744
Cliente_ITM LATIN AMERICA INDUSTRIA DE PECAS PARA TRATORES LTDA,    4.7775,    0.784,    6.092, 0.000,    3.240,    6.315
"Cliente_JARI CELULOSE, PAPEL E EMBALAGENS S/A",    4.5014,    0.965,    4.666, 0.000,    2.610,    6.393
Cliente_JBS EMBALAGENS METALICAS LTDA,    5.2835,    0.882,    5.987, 0.000,    3.554,    7.013
Cliente_JBS S/A,    5.1979,    0.682,    7.627, 0.000,    3.862,    6.534
Cliente_JJ THOMAZI & CIA LTDA,    3.7004,    1.054,    3.510, 0.000,    1.634,    5.767
Cliente_JOBEK DO BRASIL INDUSTRIA TEXTIL LTDA,    4.0544,    1.142,    3.550, 0.000,    1.815,    6.293
Cliente_JOFUND SA,    3.6875,    0.712,    5.181, 0.000,    2.292,    5.083
Cliente_JOHN BEAN TECHNOLOGIES MAQUINAS E EQUIPAMENTOS INDUSTRI,    4.5413,    0.819,    5.547, 0.000,    2.936,    6.146
Cliente_JOHN DEERE BRASIL LTDA,    7.0614,    0.698,   10.111, 0.000,    5.692,    8.430
Cliente_JOHNSON & JOHNSON BRASIL IND COM PRODUTOS SAUDE LTDA,    6.2192,    0.885,    7.024, 0.000,    4.483,    7.955
"Cliente_JOHNSON CONTROLS BE DO BRASIL LTDA,",    4.5961,    1.052,    4.368, 0.000,    2.534,    6.659
Cliente_JOHNSON CONTROLS-HITACHI AR CONDICIONADO DO BRASIL LTDA,    4.1821,    1.177,    3.552, 0.000,    1.874,    6.490
Cliente_JOSE MURILIA BOZZA COMERCIO E INDUSTRIA LTDA,    3.0775,    0.818,    3.764, 0.000,    1.475,    4.680
Cliente_JOSE NILDO VIEIRA,   -0.0247,    1.281,   -0.019, 0.985,   -2.535,    2.486
Cliente_JOST BRASIL SISTEMAS AUTOMOTIVOS LTDA,    4.8571,    0.830,    5.853, 0.000,    3.230,    6.484
Cliente_JOYSON SAFETY SYSTEMS BRASIL LTDA,    5.4743,    0.785,    6.976, 0.000,    3.936,    7.013
"Cliente_JP COMERCIAL E INDUSTRIAL LTDA,",    4.7188,    0.882,    5.348, 0.000,    2.989,    6.449
Cliente_JTEKT AUTOMOTIVA BRASIL LTDA,    4.9455,    0.863,    5.728, 0.000,    3.253,    6.638
