
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1912.
Date:,"Wed, 29 May 2024",  Prob (F-statistic):,  0.00
Time:,08:37:56,  Log-Likelihood:    , -7770.1
No. Observations:,  7079,  AIC:               ,1.829e+04
Df Residuals:,  5702,  BIC:               ,2.775e+04
Df Model:,  1377,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_TECNOEVA TECNOLOGIA EM EVA LTDA,    3.8473,    1.060,    3.629, 0.000,    1.769,    5.926
Cliente_TECNOMOTOR ELETRONICA DO BRASIL S/A,    2.4067,    1.051,    2.291, 0.022,    0.347,    4.466
Cliente_TECNOVIN DO BRASIL LTDA,    4.6393,    0.730,    6.353, 0.000,    3.208,    6.071
Cliente_TECUMSEH DO BRASIL LTDA,    4.2214,    0.685,    6.164, 0.000,    2.879,    5.564
Cliente_TEDESCO COMERCIAL EXPORTADORA S/A,    2.2883,    0.901,    2.540, 0.011,    0.522,    4.054
"Cliente_TEKNIA TECNOTUBO AUTOMOTIVE LTDA,",    4.6616,    1.051,    4.436, 0.000,    2.602,    6.721
Cliente_TEKSID DO BRASIL LTDA,    5.1561,    0.725,    7.109, 0.000,    3.734,    6.578
Cliente_TELASUL SA,    4.4556,    0.798,    5.582, 0.000,    2.891,    6.020
"Cliente_TELCON FIOS E CABOS PARA TELECOMUNICACOES S/A,",    4.1020,    0.715,    5.736, 0.000,    2.700,    5.504
Cliente_TEMASA INDUSTRIA DE MOVEIS LTDA,    2.9909,    0.775,    3.858, 0.000,    1.471,    4.511
Cliente_TENNISCORD INDUSTRIA DE CORDAS LTDA,    3.8313,    1.051,    3.645, 0.000,    1.771,    5.892
Cliente_TERMICA INDUSTRIA E COMERCIO DE EMBALAGENS LTDA - ME,    2.4653,    1.096,    2.250, 0.025,    0.317,    4.614
Cliente_TERMOMECANICA SAO PAULO S A,    5.2594,    1.052,    5.000, 0.000,    3.197,    7.321
Cliente_TERMOPAR IMPORT LTDA,    3.9859,    0.939,    4.244, 0.000,    2.145,    5.827
Cliente_TERRA E AGUA INDUSTRIA DE CALCADOS LTDA,    3.4546,    1.058,    3.265, 0.001,    1.380,    5.529
Cliente_TERRANOVA BRASIL LTDA,    4.7143,    0.776,    6.079, 0.000,    3.194,    6.235
"Cliente_TERRAS DE AVENTURA INDUSTRIA DE ARTIGOS ESPORTIVOS S,A",    4.1423,    0.935,    4.428, 0.000,    2.308,    5.976
Cliente_TEXTIL DALUTEX LTDA,    2.9081,    0.881,    3.301, 0.001,    1.181,    4.635
"Cliente_TEXTIL FARBE S,A",    3.2133,    0.795,    4.041, 0.000,    1.654,    4.772
Cliente_TEXTIL ITATIBA LTDA,    3.4622,    1.072,    3.231, 0.001,    1.361,    5.563
Cliente_TGM INDUSTRIA E COMERCIO DE TURBINAS E TRANSMISSOES LTD,    4.0611,    0.696,    5.837, 0.000,    2.697,    5.425
"Cliente_THOR GRANITOS E MARMORES LTDA,",    4.4094,    1.095,    4.026, 0.000,    2.262,    6.556
Cliente_THYSSENKRUPP ELEVADORES SA,    5.1477,    0.892,    5.770, 0.000,    3.399,    6.897
Cliente_THYSSENKRUPP METALURGICA CAMPO LIMPO LTDA,    7.0609,    0.725,    9.743, 0.000,    5.640,    8.482
Cliente_TICEL EQUIPAMENTOS LTDA,    2.9935,    0.773,    3.870, 0.000,    1.477,    4.510
"Cliente_TIGRE MATERIAIS E SOLUCOES PARA CONSTRUCAO LTDA,",    7.0806,    1.055,    6.715, 0.000,    5.013,    9.148
"Cliente_TIGRE S,A, PARTICIPACOES",    4.2460,    0.748,    5.675, 0.000,    2.779,    5.713
"Cliente_TIMBAUBA S,A,",    6.4742,    1.121,    5.774, 0.000,    4.276,    8.672
Cliente_TINTO HOLDING LTDA,    4.9616,    0.681,    7.282, 0.000,    3.626,    6.297
Cliente_TITAN PNEUS DO BRASIL LTDA,    4.3617,    0.749,    5.821, 0.000,    2.893,    5.831
Cliente_TM BEVO INDUSTRIA E COMERCIO DE MAQUINAS OPERATRIZES LT,    2.8243,    1.051,    2.687, 0.007,    0.764,    4.885
"Cliente_TMD FRICTION DO BRASIL S,A,",    3.7561,    0.749,    5.014, 0.000,    2.288,    5.225
Cliente_TMSA - TECNOLOGIA EM MOVIMENTACAO S/A,    5.9319,    1.058,    5.606, 0.000,    3.858,    8.006
Cliente_TMT DO BRASIL LTDA,    5.6508,    0.924,    6.115, 0.000,    3.839,    7.462
Cliente_TOIGO MOVEIS LTDA,    4.5881,    0.792,    5.794, 0.000,    3.036,    6.140
Cliente_TOLEDO DO BRASIL INDUSTRIA DE BALANCAS LTDA,    2.9078,    0.763,    3.808, 0.000,    1.411,    4.405
Cliente_TOLEDO MINERACAO LTDA,    3.1184,    1.210,    2.578, 0.010,    0.747,    5.490
Cliente_TOME S/A INDUSTRIA DE AUTO PECAS,    4.2906,    0.892,    4.811, 0.000,    2.542,    6.039
Cliente_TOP LEATHER SINTETICOS INDUSTRIA E COMERCIO LTDA,    2.9155,    1.050,    2.777, 0.006,    0.857,    4.974
Cliente_TORLIM INDUSTRIA FRIGORIFICA LTDA,    3.9335,    1.089,    3.612, 0.000,    1.799,    6.068
"Cliente_TOTVS LARGE ENTERPRISE TECNOLOGIA S,A,",    2.1622,    0.807,    2.678, 0.007,    0.580,    3.745
Cliente_TOYOTA DO BRASIL LTDA,    7.7019,    1.052,    7.324, 0.000,    5.640,    9.764
Cliente_TRABLIN TRADING BRASILEIRA DE LIGAS E INOCULANTES S/A,    3.3991,    1.051,    3.233, 0.001,    1.338,    5.460
"Cliente_TRACOMAL MINERACAO S,A",    4.8091,    1.214,    3.961, 0.000,    2.429,    7.189
Cliente_TRAMONTINA BELEM SA,    1.1238,    1.091,    1.030, 0.303,   -1.015,    3.263
"Cliente_TRAMONTINA ELETRIK S,A,",    3.3107,    1.056,    3.135, 0.002,    1.240,    5.381
Cliente_TRAMONTINA FARROUPILHA SA INDUSTRIA METALURGICA,    4.3415,    0.725,    5.991, 0.000,    2.921,    5.762
Cliente_TRAMONTINA GARIBALDI SA INDUSTRIA METALURGICA,    3.9969,    1.056,    3.785, 0.000,    1.927,    6.067
Cliente_TRAMONTINA MULTI S/A,    4.6801,    0.892,    5.248, 0.000,    2.932,    6.428
Cliente_TRAMONTINA SA CUTELARIA,    4.7848,    0.702,    6.814, 0.000,    3.408,    6.161
"Cliente_TRAMONTINA TEEC S/A,",    2.7798,    0.825,    3.367, 0.001,    1.162,    4.398
Cliente_TRANSCOR IND DE PIGMENTOS E CORANTES LTDA,    1.9857,    1.051,    1.889, 0.059,   -0.075,    4.046
"Cliente_TRANSFORMADORES E SERVICOS DE ENERGIA DAS AMERICAS S,A,",    4.5045,    0.787,    5.726, 0.000,    2.962,    6.047
Cliente_TREBOLL MOVEIS LTDA,    4.1431,    0.826,    5.016, 0.000,    2.524,    5.762
"Cliente_TRES MARIAS EXPORTACAO, IMPORTACAO LTDA",    3.6935,    1.050,    3.517, 0.000,    1.635,    5.752
"Cliente_TRIANGULO PISOS E PAINEIS LTDA,",    3.7649,    0.860,    4.379, 0.000,    2.079,    5.450
Cliente_TRINYS INDUSTRIA E COMERCIO LTDA,    2.1823,    1.051,    2.076, 0.038,    0.122,    4.243
Cliente_TRITEC INDUSTRIAL LTDA,    2.6193,    1.066,    2.458, 0.014,    0.530,    4.708
Cliente_TROPFRUIT NORDESTE SA,    3.1432,    0.656,    4.794, 0.000,    1.858,    4.428
Cliente_TROPIC WEAR CONFECCOES LTDA,    1.3035,    1.077,    1.210, 0.226,   -0.809,    3.416
Cliente_TROPICAL INDUSTRIA DE ALIMENTOS S/A,    2.3537,    0.924,    2.548, 0.011,    0.543,    4.165
Cliente_TRUTZSCHLER INDUSTRIA E COMERCIO DE MAQUINAS LTDA,    3.9205,    0.925,    4.238, 0.000,    2.107,    5.734
Cliente_TTB INDUSTRIA E COMERCIO DE PRODUTOS METALICOS LTDA,    3.1080,    1.050,    2.960, 0.003,    1.050,    5.166
Cliente_TUPER S/A,    2.8603,    0.781,    3.662, 0.000,    1.329,    4.392
Cliente_TUPY S/A,    5.8948,    0.686,    8.597, 0.000,    4.551,    7.239
Cliente_UNIAO QUIMICA FARMACEUTICA NACIONAL S A,    2.1521,    1.051,    2.047, 0.041,    0.091,    4.213
Cliente_UNICASA INDUSTRIA DE MOVEIS S/A,    4.6101,    1.058,    4.357, 0.000,    2.536,    6.684
"Cliente_UNIFY - SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,",    5.2882,    0.785,    6.736, 0.000,    3.749,    6.827
Cliente_UNIGEL PLASTICOS S/A,    3.6862,    0.905,    4.073, 0.000,    1.912,    5.460
Cliente_UNIGRES CERAMICA LTDA,    3.1002,    0.818,    3.791, 0.000,    1.497,    4.703
"Cliente_UNIKLIMA ELETRO INDUSTRIAL LTDA,",    3.7736,    1.050,    3.594, 0.000,    1.715,    5.832
Cliente_UNION PACK INDUSTRIA DE EMBALAGENS LTDA,    3.2926,    1.059,    3.109, 0.002,    1.216,    5.369
Cliente_UNIVEL AUTOMOTIVE LTDA,    3.0359,    0.783,    3.879, 0.000,    1.502,    4.570
Cliente_UNIVERSUM DO BRASIL INDUSTRIA MOVELEIRA LTDA,    2.3396,    1.079,    2.169, 0.030,    0.225,    4.454
Cliente_UPA UMBUZEIRO PRODUCOES AGRICOLAS LTDA,    3.7414,    0.820,    4.564, 0.000,    2.134,    5.349
Cliente_URSUS MAQUINAS AGRICOLAS LTDA,    2.4224,    1.077,    2.248, 0.025,    0.310,    4.535
Cliente_USAFLEX - INDUSTRIA & COMERCIO S/A,    4.6022,    0.891,    5.167, 0.000,    2.856,    6.348
Cliente_USIBRAS USINA BRASILEIRA DE OLEOS E CAST,    4.1814,    1.263,    3.310, 0.001,    1.705,    6.658
"Cliente_USIMECA - INDUSTRIA MECANICA S,A,",    4.1505,    1.098,    3.779, 0.000,    1.997,    6.304
Cliente_USINA ACUCAREIRA ESTER S A,    2.9639,    0.785,    3.777, 0.000,    1.425,    4.502
Cliente_USINA CAETE S A,    5.3041,    0.385,   13.769, 0.000,    4.549,    6.059
"Cliente_USINA DA BARRA S,A, - ACUCAR E ALCOOL",    4.3846,    1.051,    4.171, 0.000,    2.324,    6.445
Cliente_USINA MOEMA ACUCAR E ALCOOL LTDA,    4.8966,    0.882,    5.549, 0.000,    3.167,    6.626
"Cliente_USINAS SIDERURGICAS DE MINAS GERAIS S/A, USIMINAS",    4.3289,    0.712,    6.076, 0.000,    2.932,    5.726
Cliente_UTZ MAQUINAS LTDA,    1.6905,    1.077,    1.569, 0.117,   -0.422,    3.803
Cliente_VALE GRANDE INDUSTRIA E COMERCIO DE ALIMENTOS S/A,    2.4749,    0.748,    3.310, 0.001,    1.009,    3.941
Cliente_VALENCA DA BAHIA MARICULTURA S/A,    3.2071,    0.790,    4.061, 0.000,    1.659,    4.755
"Cliente_VALEO SISTEMAS AUTOMOTIVOS LTDA,",    6.2150,    0.819,    7.590, 0.000,    4.610,    7.820
Cliente_VALGROUP BA INDUSTRIA DE EMBALAGENS FLEXIVEIS LTDA,    3.5760,    0.882,    4.055, 0.000,    1.847,    5.305
Cliente_VALGROUP MG INDUSTRIA DE EMBALAGENS FLEXIVEIS LTDA,    3.6873,    0.838,    4.398, 0.000,    2.044,    5.331
Cliente_VALISERE INDUSTRIA E COMERCIO LTDA,    4.2719,    0.883,    4.840, 0.000,    2.542,    6.002
Cliente_VALLOUREC TUBOS DO BRASIL LTDA,    3.9949,    0.810,    4.934, 0.000,    2.407,    5.582
Cliente_VAMOL INDUSTRIA MOVELEIRA LTDA,    2.5093,    0.813,    3.085, 0.002,    0.915,    4.104
"Cliente_VANCOUROS INDUSTRIA E COMERCIO DE COUROS LTDA,",    2.6882,    0.777,    3.461, 0.001,    1.166,    4.211
Cliente_VDL SIDERURGIA LTDA,    2.7363,    0.902,    3.034, 0.002,    0.969,    4.504
Cliente_VENAX ELETRODOMESTICOS LTDA,    3.6235,    0.759,    4.777, 0.000,    2.136,    5.110
"Cliente_VENTUROSO, VALENTINI & CIA LTDA",    3.4303,    0.818,    4.195, 0.000,    1.827,    5.033
Cliente_VERDES MAQUINAS E INSTALACOES LTDA,    3.7023,    0.882,    4.197, 0.000,    1.973,    5.432
Cliente_VETORE INDUSTRIA E COMERCIO DE AUTOPECAS LTDA,    3.0388,    0.857,    3.546, 0.000,    1.359,    4.719
Cliente_VETTOR TORRES DE RESFRIAMENTO LTDA,    2.8479,    0.882,    3.230, 0.001,    1.119,    4.576
"Cliente_VIA FIT CALAADOS LTDA,",    2.6355,    1.056,    2.496, 0.013,    0.565,    4.706
Cliente_VIA NECTARE TECNOLOGIA EM BEBIDAS E ALIMENTOS LTDA,    3.5470,    1.052,    3.373, 0.001,    1.485,    5.609
Cliente_VIBRA  AGROINDUSTRIAL  S/A,    5.7808,    1.066,    5.423, 0.000,    3.691,    7.870
Cliente_VIBTECH INDUSTRIAL LTDA,    1.7097,    1.052,    1.625, 0.104,   -0.353,    3.772
Cliente_VICON MAQUINAS AGRICOLAS LTDA,    2.3312,    1.051,    2.218, 0.027,    0.271,    4.392
"Cliente_VICUNHA TEXTIL S/A,",    5.3284,    0.829,    6.426, 0.000,    3.703,    6.954
"Cliente_VIDROFORTE INDUSTRIA E COMERCIO DE VIDROS LTDA,",    4.1160,    1.056,    3.899, 0.000,    2.046,    6.186
Cliente_VIENA SIDERURGICA S/A,    2.2314,    0.902,    2.475, 0.013,    0.464,    3.999
Cliente_VILLARES METALS SA,    5.4884,    0.702,    7.820, 0.000,    4.113,    6.864
Cliente_VILTEX INDUSTRIA TEXTIL LTDA,    2.6498,    1.058,    2.504, 0.012,    0.575,    4.725
Cliente_VINICOLA MIOLO LTDA,    3.0469,    1.062,    2.868, 0.004,    0.964,    5.130
"Cliente_VINIGAS IND, E COM, DE COMPONENTES PARA GAS LTDA",    1.1873,    0.903,    1.315, 0.188,   -0.582,    2.957
"Cliente_VIPOSA S,A",    3.8293,    0.765,    5.008, 0.000,    2.330,    5.328
Cliente_VISTEON SISTEMAS AUTOMOTIVOS LTDA,    5.5715,    0.818,    6.808, 0.000,    3.967,    7.176
Cliente_VITAPELLI LTDA,    4.7539,    0.883,    5.386, 0.000,    3.023,    6.484
Cliente_VIVERE MOVEIS LTDA,    3.6052,    0.905,    3.982, 0.000,    1.830,    5.380
Cliente_VOITH HYDRO LTDA,    3.0844,    0.698,    4.419, 0.000,    1.716,    4.453
Cliente_VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES,    6.3943,    0.690,    9.270, 0.000,    5.042,    7.747
Cliente_VOLKSWAGEN TRUCK & BUS INDUSTRIA E COMERCIO DE VEICULOS,    6.2850,    0.690,    9.113, 0.000,    4.933,    7.637
Cliente_VOLVO DO BRASIL VEICULOS LTDA,    6.3762,    0.752,    8.482, 0.000,    4.903,    7.850
Cliente_VR LUX INDUSTRIAL LTDA,    2.5213,    1.050,    2.401, 0.016,    0.463,    4.580
"Cliente_VULCABRAS AZALEIA - CE, CALCADOS E ARTIGOS ESPORTIVOS S",    6.2347,    0.831,    7.507, 0.000,    4.607,    7.863
"Cliente_VULCABRAS AZALEIA-BA,CALCADOS E ARTIGOS ESPORTIVOS S/A",    4.7323,    0.772,    6.133, 0.000,    3.220,    6.245
"Cliente_VULCABRAS AZALEIA-RS,CALCADOS E ARTIGOS ESPORTIVOS S/A",    5.3077,    0.775,    6.850, 0.000,    3.789,    6.827
"Cliente_VULCABRAS AZALEIA-SE,CALCADOS E ARTIGOS ESPORTIVOS LTDA",    5.3675,    0.519,   10.351, 0.000,    4.351,    6.384
Cliente_WAP DO BRASIL LTDA,    0.8981,    0.920,    0.976, 0.329,   -0.906,    2.702
Cliente_WEG EQUIPAMENTOS ELETRICOS S/A,    6.0527,    0.693,    8.740, 0.000,    4.695,    7.410
Cliente_WEG EXPORTADORA S/A,    5.4242,    0.703,    7.716, 0.000,    4.046,    6.802
"Cliente_WENZELYS APICULTURA COM, IND, EXP, LTDA,",   -0.7735,    0.752,   -1.028, 0.304,   -2.249,    0.702
Cliente_WETZEL S/A,    2.5109,    0.782,    3.211, 0.001,    0.978,    4.044
"Cliente_WHB COMPONENTES AUTOMOTIVOS S,A,",    3.7849,    1.091,    3.470, 0.001,    1.647,    5.923
Cliente_WHB FUNDICAO S/A,    4.8214,    0.757,    6.367, 0.000,    3.337,    6.306
Cliente_WHEATON BRASIL VIDROS LTDA,    3.2870,    0.883,    3.724, 0.000,    1.557,    5.017
Cliente_WHEATON DO BRASIL INDUSTRIA E COMERCIO LTDA,    3.4507,    1.051,    3.283, 0.001,    1.390,    5.512
Cliente_WHITE MARTINS GASES INDUSTRIAIS LTDA,    5.3441,    0.848,    6.303, 0.000,    3.682,    7.006
Cliente_WOBBEN WINDPOWER INDUSTRIA E COMERCIO LTDA,    7.0204,    1.051,    6.679, 0.000,    4.960,    9.081
Cliente_WOLKAN IMPORTACAO E EXPORTACAO DE MAQUINAS LTDA,    3.4064,    1.061,    3.210, 0.001,    1.326,    5.487
Cliente_WYNY DO BRASIL IND E COM DE COUROS LTDA,    2.5973,    0.920,    2.822, 0.005,    0.793,    4.401
Cliente_XALINGO SA INDUSTRIA E COMERCIO,    4.4978,    0.888,    5.068, 0.000,    2.758,    6.238
Cliente_XINGULEDER COUROS LTDA,    3.3519,    0.721,    4.649, 0.000,    1.938,    4.765
"Cliente_YABORA INDUSTRIA AERONAUTICA S,A,",    9.6925,    1.052,    9.215, 0.000,    7.631,   11.754
Cliente_YOKI ALIMENTOS S/A,    2.2272,    0.923,    2.413, 0.016,    0.418,    4.036
"Cliente_ZD ALIMENTOS S,A",    2.9836,    0.818,    3.646, 0.000,    1.380,    4.588
Cliente_ZEGLA - INDUSTRIA DE MAQUINAS PARA BEBIDAS LTDA,    3.5915,    0.776,    4.627, 0.000,    2.070,    5.113
Cliente_ZEKTOR TECHNOLOGIES INDUSTRIA E COMERCIO LTDA,    1.6850,    1.051,    1.604, 0.109,   -0.375,    3.745
Cliente_ZEMA ZSELICS LTDA,    3.2289,    0.881,    3.664, 0.000,    1.502,    4.956
"Cliente_ZEN S,A, INDUSTRIA METALURGICA",    4.4825,    0.702,    6.388, 0.000,    3.107,    5.858
Cliente_ZEPPINI INDUSTRIAL E COMERCIAL LTDA,    3.6919,    1.051,    3.512, 0.000,    1.631,    5.753
"Cliente_ZF AUTOMOTIVE BRASIL LTDA,",    5.8808,    0.785,    7.491, 0.000,    4.342,    7.420
"Cliente_ZF DO BRASIL LTDA,",    4.6279,    0.685,    6.754, 0.000,    3.285,    5.971
Cliente_ZIVALPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA,    2.7085,    1.089,    2.486, 0.013,    0.573,    4.844
Cliente_ZM SA,    4.2327,    0.830,    5.098, 0.000,    2.605,    5.860
Cliente_ZOLLERN TRANSMISSOES MECANICAS LTDA,    2.2389,    0.844,    2.652, 0.008,    0.584,    3.894
Cliente_ZURLO IMPLEMENTOS RODOVIARIOS LTDA,    4.3649,    1.057,    4.129, 0.000,    2.292,    6.437
UF_Alagoas,    9.6139,    0.319,   30.136, 0.000,    8.989,   10.239
UF_Amazonas,   10.4183,    0.845,   12.331, 0.000,    8.762,   12.075
UF_Bahia,   11.6535,    0.716,   16.268, 0.000,   10.249,   13.058
UF_Ceará,   10.2223,    0.807,   12.662, 0.000,    8.640,   11.805
UF_Espírito Santo,    9.7461,    0.893,   10.916, 0.000,    7.996,   11.496
UF_Goiás,   10.6356,    0.794,   13.388, 0.000,    9.078,   12.193
UF_Mato Grosso,   11.4113,    0.726,   15.722, 0.000,    9.988,   12.834
UF_Mato Grosso do Sul,   10.1638,    0.961,   10.581, 0.000,    8.281,   12.047
UF_Minas Gerais,   13.0351,    0.738,   17.669, 0.000,   11.589,   14.481
UF_Paraná,   12.2807,    0.743,   16.531, 0.000,   10.824,   13.737
UF_Paraíba,   10.0912,    0.784,   12.864, 0.000,    8.553,   11.629
UF_Pará,   12.5864,    1.034,   12.168, 0.000,   10.559,   14.614
UF_Pernambuco,   11.7907,    0.863,   13.657, 0.000,   10.098,   13.483
UF_Piauí,    9.8991,    0.308,   32.097, 0.000,    9.295,   10.504
UF_Rio Grande do Norte,   11.1976,    0.957,   11.698, 0.000,    9.321,   13.074
UF_Rio Grande do Sul,   11.2472,    0.707,   15.897, 0.000,    9.860,   12.634
UF_Rio de Janeiro,   12.0703,    0.803,   15.028, 0.000,   10.496,   13.645
UF_Rondônia,    9.2031,    0.743,   12.385, 0.000,    7.746,   10.660
UF_Santa Catarina,   11.5493,    0.697,   16.560, 0.000,   10.182,   12.916
UF_Sergipe,    9.6949,    0.367,   26.416, 0.000,    8.975,   10.414
UF_São Paulo,   16.1365,    1.057,   15.266, 0.000,   14.064,   18.209
UF_Tocantins,    9.2097,    1.013,    9.095, 0.000,    7.225,   11.195
Setor CNAE_COMERCIO E SERVICOS,   -0.0564,    0.160,   -0.352, 0.725,   -0.371,    0.258
Setor CNAE_INDUSTRIA DE TRANSFORMAÇÃO,    0.1131,    0.151,    0.749, 0.454,   -0.183,    0.409
Setor CNAE_INDUSTRIA EXTRATIVA,   -0.0499,    0.609,   -0.082, 0.935,   -1.244,    1.145
Porte do cliente_MICRO,   -0.1562,    0.258,   -0.606, 0.545,   -0.662,    0.349
Porte do cliente_MÉDIA,   -0.2762,    0.072,   -3.848, 0.000,   -0.417,   -0.135
Porte do cliente_PEQUENA,   -0.3503,    0.213,   -1.642, 0.101,   -0.769,    0.068


Table 3: t
Omnibus:,230.141,  Durbin-Watson:     ,   1.815
Prob(Omnibus):, 0.000,  Jarque-Bera (JB):  , 602.096
Skew:,-0.096,  Prob(JB):          ,1.81e-131
Kurtosis:, 4.416,  Cond. No.          ,6.89e+16

