,Cliente,UF,Ano da Operação,Valor da Operação em R$,Valor Desembolsado em Reais,Setor CNAE,Subsetor CNAE Agrupado,Porte do cliente,Natureza,Instituição Financeira Credenciada,Contribuição do UF ao PIB Nacional (%)
4911,SEARA COMERCIO DE ALIMENTOS LTDA,Paraná,2010,14926676,14926676.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.057955255314993105
4275,"MAHLE METAL LEVE S,A,",São Paulo,2010,40000000,40000000.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.3331824407909009
4277,"MAHLE METAL LEVE S,A,",São Paulo,2010,10000000,10000000.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,BANCO CITIBANK S A,0.3331824407909009
4283,BIGNARDI INDUSTRIA COMERCIO DE PAPEIS E ARTEFATOS LTDA,São Paulo,2010,4000000,4000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Celulose e papel,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3331824407909009
4285,MAQUINAS AGRICOLAS JACTO S A,São Paulo,2010,22081200,22081200.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4286,MAQUINAS AGRICOLAS JACTO S A,São Paulo,2010,10000000,10000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.3331824407909009
4287,"A,W, FABER CASTELL S,A,",São Paulo,2010,22081200,22081200.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos diversos,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.3331824407909009
4300,MOGIANA ALIMENTOS LTDA,São Paulo,2010,3453868,3453868.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3331824407909009
4301,PRENSAS SCHULER S A,São Paulo,2010,18401000,18401000.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.3331824407909009
4276,"MAHLE METAL LEVE S,A,",São Paulo,2010,11000000,11000000.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"BANCO ABC BRASIL S,A,",0.3331824407909009
4306,"PERTECH DO BRASIL LTDA,",São Paulo,2010,4000000,4000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Borracha e plástico,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3331824407909009
4255,LORENZETTI SA INDUSTRIAS BRASILEIRAS ELETROMETALURGICAS,São Paulo,2010,18362000,18362000.0,INDUSTRIA DE TRANSFORMAÇÃO,"Máq, aparelho eletrico",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.3331824407909009
4253,DORI ALIMENTOS LTDA,São Paulo,2010,7987470,7987470.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4188,"ANDRITZ HYDRO LTDA,",São Paulo,2010,11224263,11224263.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3331824407909009
4197,"ZF AUTOMOTIVE BRASIL LTDA,",São Paulo,2010,91275000,91275000.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3331824407909009
4198,INDUSTRIA DE PRODUTOS ALIMENTICIOS MAVALERIO LTDA,São Paulo,2010,3030330,3030330.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4200,GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA,São Paulo,2010,49999989,49999989.0,INDUSTRIA DE TRANSFORMAÇÃO,Borracha e plástico,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4201,"EMBRAER S,A,",São Paulo,2010,100000000,100000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Outros equip transporte,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4202,"EMBRAER S,A,",São Paulo,2010,100000000,100000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Outros equip transporte,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3331824407909009
4208,CUMMINS BRASIL LIMITADA,São Paulo,2010,18255000,18255000.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.3331824407909009
4254,DORI ALIMENTOS LTDA,São Paulo,2010,8721950,8721950.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO VOTORANTIM S,A,",0.3331824407909009
4209,CUMMINS BRASIL LIMITADA,São Paulo,2010,18255000,18255000.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4224,"IRIZAR BRASIL LTDA,",São Paulo,2010,5111400,5111400.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4225,DURCON EQUIPAMENTOS INDUSTRIAIS LIMITADA,São Paulo,2010,3103350,3103350.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4226,MAHLE BEHR GERENCIAMENTO TERMICO BRASIL LTDA,São Paulo,2010,14999987,14999987.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4227,ACE SCHMERSAL ELETROELETRONICA INDUSTRIAL LTDA,São Paulo,2010,5476500,5476500.0,INDUSTRIA DE TRANSFORMAÇÃO,"Máq, aparelho eletrico",GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4228,ANTIBIOTICOS DO BRASIL LTDA,São Paulo,2010,10000000,10000000.0,INDUSTRIA DE TRANSFORMAÇÃO,"Farmoquímico, farmacêutico",GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4229,"I,T,B, - EQUIPAMENTOS ELETRICOS LTDA",São Paulo,2010,1836200,1836200.0,INDUSTRIA DE TRANSFORMAÇÃO,"Máq, aparelho eletrico",GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.3331824407909009
4251,CUMMINS FILTROS LTDA,São Paulo,2010,9181000,9181000.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.3331824407909009
4219,"TELCON FIOS E CABOS PARA TELECOMUNICACOES S/A,",São Paulo,2010,3651000,3651000.0,INDUSTRIA DE TRANSFORMAÇÃO,"Máq, aparelho eletrico",GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4909,ZIVALPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA,Paraná,2010,2000000,2000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Borracha e plástico,GRANDE,PRIVADA,"BANCO VOTORANTIM S,A,",0.057955255314993105
4111,THYSSENKRUPP METALURGICA CAMPO LIMPO LTDA,São Paulo,2010,200000000,200000000.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.3331824407909009
4899,VAMOL INDUSTRIA MOVELEIRA LTDA,Paraná,2010,2100000,2100000.0,INDUSTRIA DE TRANSFORMAÇÃO,Móveis,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.057955255314993105
4430,"MAGNESITA REFRATARIOS S,A,",Minas Gerais,2010,74536000,74536000.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.09035955816067899
4431,"CNH INDUSTRIAL BRASIL LTDA,",Minas Gerais,2010,74536000,74536000.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.09035955816067899
4432,"CNH INDUSTRIAL BRASIL LTDA,",Minas Gerais,2010,18634000,18634000.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO ABC BRASIL S,A,",0.09035955816067899
4433,"CNH INDUSTRIAL BRASIL LTDA,",Minas Gerais,2010,18634000,18634000.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO ALFA DE INVESTIMENTO S,A,",0.09035955816067899
4434,"CNH INDUSTRIAL BRASIL LTDA,",Minas Gerais,2010,55902000,55902000.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.09035955816067899
4435,"CNH INDUSTRIAL BRASIL LTDA,",Minas Gerais,2010,18634000,18634000.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.09035955816067899
4462,COMPANHIA INDUSTRIAL CATAGUASES,Minas Gerais,2010,4993912,4993912.0,INDUSTRIA DE TRANSFORMAÇÃO,Têxtil,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.09035955816067899
4429,GERDAU ACOMINAS S/A,Minas Gerais,2010,60000000,60000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.09035955816067899
