
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1875.
Date:,"Tue, 28 May 2024",  Prob (F-statistic):,  0.00
Time:,08:18:50,  Log-Likelihood:    , -7845.0
No. Observations:,  7080,  AIC:               ,1.844e+04
Df Residuals:,  5704,  BIC:               ,2.789e+04
Df Model:,  1376,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_OLIMPUS INDUSTRIAL E COMERCIAL LTDA,    5.2562,    1.012,    5.193, 0.000,    3.272,    7.240
Cliente_OMECO INDUSTRIA E COMERCIO DE MAQUINAS LTDA,    5.8933,    0.755,    7.801, 0.000,    4.412,    7.374
Cliente_ONESUBSEA DO BRASIL SERVICOS SUBMARINOS LTDA,    9.7681,    0.791,   12.354, 0.000,    8.218,   11.318
Cliente_ORTOBRAS INDUSTRIA E COMERCIO DE ORTOPEDIA LTDA,    7.4726,    1.013,    7.377, 0.000,    5.487,    9.458
"Cliente_OSTERNO IND, E COMERCIO DE MOV, LTDA",    5.9724,    0.977,    6.112, 0.000,    4.057,    7.888
Cliente_OURO FINO SAUDE ANIMAL LTDA,    6.4569,    0.639,   10.108, 0.000,    5.205,    7.709
Cliente_OXFORD PORCELANAS S/A,    5.8132,    0.635,    9.161, 0.000,    4.569,    7.057
Cliente_OXITENO NORDESTE S A INDUSTRIA E COMERCIO,    8.5982,    0.758,   11.350, 0.000,    7.113,   10.083
Cliente_OXITENO S A INDUSTRIA E COMERCIO,    7.7034,    1.012,    7.610, 0.000,    5.719,    9.688
Cliente_P B ZANZINI & CIA,    6.2113,    0.761,    8.163, 0.000,    4.720,    7.703
Cliente_PADTEC S/A,    6.6328,    0.832,    7.977, 0.000,    5.003,    8.263
Cliente_PALETRANS EQUIPAMENTOS LTDA,    5.0973,    1.012,    5.035, 0.000,    3.113,    7.082
Cliente_PALINI & ALVES LTDA,    6.2186,    0.664,    9.371, 0.000,    4.918,    7.519
Cliente_PALMALI - INDUSTRIAL DE ALIMENTOS LTDA,    5.0139,    0.811,    6.182, 0.000,    3.424,    6.604
