
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1875.
Date:,"Tue, 28 May 2024",  Prob (F-statistic):,  0.00
Time:,08:18:50,  Log-Likelihood:    , -7845.0
No. Observations:,  7080,  AIC:               ,1.844e+04
Df Residuals:,  5704,  BIC:               ,2.789e+04
Df Model:,  1376,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_A FERREIRA INDUSTRIA COMERCIO E EXPORTACAO LTDA,    5.2203,    1.087,    4.801, 0.000,    3.089,    7.352
Cliente_A GRINGS S/A,    8.0270,    0.702,   11.433, 0.000,    6.651,    9.403
"Cliente_A,M,C, TEXTIL LTDA,",    6.6411,    0.736,    9.026, 0.000,    5.199,    8.083
"Cliente_A,W, FABER CASTELL S,A,",    7.4409,    0.622,   11.958, 0.000,    6.221,    8.661
"Cliente_AAM DO BRASIL LTDA,",    6.8016,    0.739,    9.199, 0.000,    5.352,    8.251
Cliente_AAT INTERNATIONAL LTDA,    4.9056,    0.861,    5.701, 0.000,    3.219,    6.593
Cliente_ABC-INDUSTRIA E COMERCIO S/A-ABC-INCO,    6.6673,    0.854,    7.805, 0.000,    4.993,    8.342
Cliente_ACE SCHMERSAL ELETROELETRONICA INDUSTRIAL LTDA,    7.2946,    0.762,    9.575, 0.000,    5.801,    8.788
"Cliente_ACECO TI LTDA,",    6.4916,    1.012,    6.414, 0.000,    4.507,    8.476
"Cliente_ACOS VILLARES S/A,",    8.8685,    0.647,   13.704, 0.000,    7.600,   10.137
Cliente_ACOTECNICA S/A INDUSTRIA E COMERCIO,    6.4626,    0.724,    8.923, 0.000,    5.043,    7.882
Cliente_ACRINOR ACRILONITRILA DO NORDESTE SA,    7.2771,    0.861,    8.457, 0.000,    5.590,    8.964
Cliente_ACUCAREIRA QUATA S/A,    7.2995,    0.643,   11.348, 0.000,    6.039,    8.560
Cliente_ACUMULADORES MOURA S A,    6.4727,    0.796,    8.131, 0.000,    4.912,    8.033
Cliente_ADAMI SA MADEIRAS,    6.9682,    0.660,   10.561, 0.000,    5.675,    8.262
"Cliente_ADATEX S/A, INDUSTRIAL E COMERCIAL",    5.9621,    0.762,    7.826, 0.000,    4.469,    7.456
Cliente_ADESTE INDUSTRIA DE PRODUTOS ANIMAIS LTDA,    7.7691,    0.762,   10.198, 0.000,    6.276,    9.263
"Cliente_ADIBOARD S,A, - GRUPO ITAUTEC PHILCO",    7.7111,    1.012,    7.617, 0.000,    5.727,    9.696
"Cliente_ADIENT DO BRASIL BANCOS AUTOMOTIVOS LTDA,",    8.0563,    1.012,    7.959, 0.000,    6.072,   10.041
Cliente_ADM DO BRASIL LTDA,    8.4497,    0.914,    9.244, 0.000,    6.658,   10.242
Cliente_AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO,   10.7081,    1.113,    9.619, 0.000,    8.526,   12.890
"Cliente_AETHRA SISTEMAS AUTOMOTIVOS S,A,",    6.2928,    0.728,    8.646, 0.000,    4.866,    7.720
Cliente_AFFONSO DITZEL & CIA LTDA,    4.3866,    1.050,    4.179, 0.000,    2.329,    6.444
Cliente_AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA,    9.1037,    0.674,   13.499, 0.000,    7.782,   10.426
"Cliente_AGCO DO BRASIL MAQUINAS E EQUIPAMENTOS AGRICOLAS LTDA,",    8.9893,    0.701,   12.822, 0.000,    7.615,   10.364
Cliente_AGCOMEX COMERCIAL EXPORTADORA LTDA,    5.8780,    1.033,    5.691, 0.000,    3.853,    7.903
Cliente_AGRALE SOCIEDADE ANONIMA,    8.1688,    0.653,   12.512, 0.000,    6.889,    9.449
Cliente_AGRICOLA E PECUARIA MORRO AZUL LTDA,    7.1322,    1.064,    6.704, 0.000,    5.047,    9.218
Cliente_AGRICOLA FRAIBURGO SA,    7.0453,    0.686,   10.266, 0.000,    5.700,    8.391
Cliente_AGRICOLA JANDELLE S/A,    6.1440,    0.738,    8.326, 0.000,    4.697,    7.591
Cliente_AGRO FOOD IMPORTACAO E EXPORTACAO LTDA,    6.3066,    0.887,    7.113, 0.000,    4.569,    8.045
Cliente_AGRO INDUSTRIAL LAZZERI LTDA,    7.0885,    0.760,    9.325, 0.000,    5.598,    8.579
Cliente_AGRO LATINA LTDA,    7.4879,    0.685,   10.929, 0.000,    6.145,    8.831
Cliente_AGROBRAS AGRICOLA TROPICAL BRASIL,    5.4616,    1.146,    4.767, 0.000,    3.215,    7.708
"Cliente_AGROFRUTAS - PRODUCAO, EXPORTACAO E IMPORTACAO LTDA",    5.8667,    1.055,    5.563, 0.000,    3.799,    7.934
Cliente_AGRONOL AGRO INDUSTRIAL S/A,    6.6052,    1.036,    6.375, 0.000,    4.574,    8.636
Cliente_AGROPECUARIA MAGGI LTDA,    6.7310,    0.894,    7.532, 0.000,    4.979,    8.483
Cliente_AGROPECUARIA SCHIO LTDA,    9.2978,    0.695,   13.381, 0.000,    7.936,   10.660
Cliente_AGROPEL AGROINDUSTRIAL PERAZZOLI LTDA,    7.0517,    0.661,   10.671, 0.000,    5.756,    8.347
Cliente_AGROSPE - AGRO INDUSTRIAL SAO PEDRO DE VACARIA LTDA,    5.7515,    0.774,    7.435, 0.000,    4.235,    7.268
Cliente_AGUIA SISTEMAS DE ARMAZENAGEM LTDA,    5.6926,    0.714,    7.974, 0.000,    4.293,    7.092
Cliente_AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS L,    6.6424,    0.637,   10.425, 0.000,    5.393,    7.891
Cliente_AJINOMOTO INTERAMERICANA INDUSTRIA E COMERCIO LTDA,    6.5070,    0.627,   10.376, 0.000,    5.278,    7.736
Cliente_AKEO INDUSTRIAL LTDA,    5.8281,    1.013,    5.754, 0.000,    3.842,    7.814
Cliente_AKER SOLUTIONS DO BRASIL LTDA,    9.1738,    0.701,   13.090, 0.000,    7.800,   10.548
Cliente_ALBRECHT EQUIPAMENTOS INDUSTRIAIS LTDA,    5.4845,    0.713,    7.695, 0.000,    4.087,    6.882
Cliente_ALCOA ALUMINIO S/A,    8.9480,    1.031,    8.679, 0.000,    6.927,   10.969
"Cliente_ALIBEM ALIMENTOS S,A,",    8.5251,    0.762,   11.187, 0.000,    7.031,   10.019
Cliente_ALIBRA INGREDIENTES LTDA,    6.3206,    1.012,    6.244, 0.000,    4.336,    8.305
Cliente_ALISUL ALIMENTOS SA,    7.0525,    1.013,    6.962, 0.000,    5.067,    9.038
Cliente_ALKA 3 INDUSTRIA DE AUTOPECAS LTDA,    6.3519,    0.831,    7.640, 0.000,    4.722,    7.982
Cliente_ALLBRANDS INDUSTRIA DE ALIMENTOS S/A,    4.2414,    1.050,    4.040, 0.000,    2.183,    6.299
Cliente_ALLIAGE S/A INDUSTRIAS MEDICO ODONTOLOGICA,    5.5059,    0.657,    8.375, 0.000,    4.217,    6.795
Cliente_ALLIANCE ONE BRASIL EXPORTADORA DE TABACOS LTDA,    9.0591,    1.013,    8.942, 0.000,    7.073,   11.045
Cliente_ALLTIMBER INDUSTRIA DE MADEIRAS LTDA,    4.3929,    0.811,    5.417, 0.000,    2.803,    5.983
"Cliente_ALPARGATAS S,A,",    9.1044,    0.649,   14.036, 0.000,    7.833,   10.376
Cliente_ALPEX ALUMINIO LTDA,    6.1284,    1.012,    6.054, 0.000,    4.144,    8.113
Cliente_ALPINO INDUSTRIA METALURGICA LTDA,    4.2478,    0.831,    5.109, 0.000,    2.618,    5.878
Cliente_ALSTOM BRASIL ENERGIA E TRANSPORTE LTDA,    9.2371,    0.724,   12.751, 0.000,    7.817,   10.657
Cliente_ALSTOM HYDRO ENERGIA BRASIL LTDA,    7.7284,    0.762,   10.145, 0.000,    6.235,    9.222
Cliente_ALTENBURG TEXTIL LTDA,    5.9078,    0.656,    9.006, 0.000,    4.622,    7.194
Cliente_ALUMINIUM INDUSTRIAL E COMERCIO LTDA,    4.3021,    0.762,    5.648, 0.000,    2.809,    5.795
Cliente_ALVOAR LACTEOS S/A,    6.3216,    0.854,    7.400, 0.000,    4.647,    7.996
Cliente_AMAPA DO SUL SA INDUSTRIA DA BORRACHA,    7.2305,    1.013,    7.138, 0.000,    5.245,    9.216
"Cliente_AMBEV S,A,",    7.1040,    0.832,    8.543, 0.000,    5.474,    8.734
Cliente_AMENDOAS DO BRASIL LTDA,    7.5266,    0.802,    9.390, 0.000,    5.955,    9.098
Cliente_AMERICA INDUSTRIA E COMERCIO DE EMBALAGENS LTDA,    8.3259,    1.013,    8.219, 0.000,    6.340,   10.312
Cliente_AMSTED-MAXION FUNDICAO E EQUIPAMENTOS FERROVIARIOS S/A,    8.0618,    0.609,   13.248, 0.000,    6.869,    9.255
Cliente_ANDREAZZA MADEIRAS EIRELI,    4.7433,    1.079,    4.396, 0.000,    2.628,    6.859
"Cliente_ANDRITZ HYDRO LTDA,",    7.8846,    1.012,    7.789, 0.000,    5.900,    9.869
Cliente_ANGELO CAMILOTTI CIA LTDA,    4.8601,    0.728,    6.672, 0.000,    3.432,    6.288
"Cliente_ANGLO AMERICAN OF SOUTH AMERICA LTDA,",    8.6373,    1.251,    6.903, 0.000,    6.184,   11.090
Cliente_ANHAMBI ALIMENTOS LTDA,    5.0597,    1.050,    4.819, 0.000,    3.002,    7.118
"Cliente_ANIGER - CALCADOS, SUPRIMENTOS E EMPREENDIMENTOS LTDA,",    7.5642,    0.769,    9.830, 0.000,    6.056,    9.073
Cliente_ANTIBIOTICOS DO BRASIL LTDA,    7.8090,    0.685,   11.399, 0.000,    6.466,    9.152
"Cliente_APERAM INOX AMERICA DO SUL S,A,",    6.8653,    0.672,   10.212, 0.000,    5.547,    8.183
Cliente_APOLO TUBULARS S/A,    8.5254,    1.012,    8.422, 0.000,    6.541,   10.510
Cliente_APUCACOUROS INDUSTRIA E EXPORTACAO DE COUROS S/A,    4.1151,    0.776,    5.303, 0.000,    2.594,    5.636
Cliente_APUCARANA LEATHER S/A,    5.5534,    1.050,    5.290, 0.000,    3.496,    7.611
Cliente_AQUAGEL REFRIGERACAO LIMITADA,    5.2363,    1.012,    5.173, 0.000,    3.252,    7.221
Cliente_AQUATICA MARICULTURA DO BRASIL LTDA,    6.0826,    0.937,    6.491, 0.000,    4.246,    7.920
Cliente_AQUINOR AQUICULTURA DO NORDESTE LTDA,    3.2192,    0.526,    6.118, 0.000,    2.188,    4.251
Cliente_ARAMOVEIS INDS REUNIDAS DE MOVEIS E ESTOFADOS LTDA,    5.4190,    0.877,    6.180, 0.000,    3.700,    7.138
Cliente_ARANTES ALIMENTOS LTDA,    5.8818,    0.664,    8.852, 0.000,    4.579,    7.184
"Cliente_ARAUCO DO BRASIL S,A,",    5.9781,    0.720,    8.299, 0.000,    4.566,    7.390
Cliente_ARAUPLAST INDUSTRIA DE PLASTICOS LTDA,    5.1304,    1.050,    4.887, 0.000,    3.073,    7.188
Cliente_ARCELOR BRASIL SA,    6.8573,    1.031,    6.651, 0.000,    4.836,    8.879
"Cliente_ARCELORMITTAL BRASIL S,A,",    8.4633,    0.750,   11.279, 0.000,    6.992,    9.934
Cliente_ARCOR DO BRASIL LTDA,    8.9929,    1.012,    8.884, 0.000,    7.008,   10.977
"Cliente_AREZZO INDUSTRIA E COMERCIO S,A,",    7.8559,    1.013,    7.755, 0.000,    5.870,    9.842
Cliente_ARIM COMPONENTES S/A,    8.4406,    0.761,   11.092, 0.000,    6.949,    9.932
Cliente_AROSUCO AROMAS E SUCOS LTDA,    5.3424,    0.986,    5.416, 0.000,    3.409,    7.276
Cliente_AROTUBI METAIS LTDA,    5.7478,    0.876,    6.561, 0.000,    4.030,    7.465
Cliente_ARTECOLA EXTRUSAO LTDA,    4.4513,    1.050,    4.240, 0.000,    2.393,    6.509
Cliente_ARTECOLA LAMINADOS ESPECIAIS LTDA,    6.5652,    1.012,    6.485, 0.000,    4.581,    8.550
"Cliente_ARTECOLA QUIMICA S,A,",    7.2218,    0.686,   10.526, 0.000,    5.877,    8.567
Cliente_ASA AGRICOLA SANTO ANTONIO SA,    6.2784,    0.763,    8.232, 0.000,    4.783,    7.774
"Cliente_ASGA S,A",    5.2679,    0.700,    7.526, 0.000,    3.896,    6.640
Cliente_ASTEC DO BRASIL FABRICACAO DE EQUIPAMENTOS LTDA,    6.4525,    1.031,    6.258, 0.000,    4.431,    8.474
Cliente_ATC - ASSOCIATED TOBACCO COMPANY BRASIL EXPORTACAO E IM,    8.0514,    0.763,   10.554, 0.000,    6.556,    9.547
Cliente_ATINA INDUSTRIA E COMERCIO DE ATIVOS NATURAIS LTDA,    5.3237,    0.870,    6.120, 0.000,    3.618,    7.029
Cliente_ATLANTICA EXPORTACAO E IMPORTACAO S/A,    6.0258,    1.031,    5.843, 0.000,    4.004,    8.047
Cliente_ATLAS COMPENSADOS INDUSTRIA E COMERCIO LTDA,    4.6443,    1.042,    4.459, 0.000,    2.602,    6.686
"Cliente_ATLAS INDUSTRIA DE ELETRODOMESTICOS LTDA,",    4.8157,    0.739,    6.513, 0.000,    3.366,    6.265
Cliente_AUDACES AUTOMACAO E INFORMATICA INDUSTRIAL LTDA,    6.1604,    0.736,    8.374, 0.000,    4.718,    7.602
"Cliente_AUNDE BRASIL S,A,",    7.0760,    1.012,    6.990, 0.000,    5.092,    9.060
"Cliente_AUTO ADESIVOS PARANA S,A",    6.4382,    1.050,    6.133, 0.000,    4.380,    8.496
Cliente_AUTOBOX INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA - ME,    4.9753,    1.051,    4.732, 0.000,    2.914,    7.036
Cliente_AUTOLIV DO BRASIL LTDA,    9.3091,    1.012,    9.196, 0.000,    7.325,   11.294
"Cliente_AUTOMETAL MINAS CROMACAO, PINTURA E INJECAO DE PLASTICO",    4.8500,    0.853,    5.683, 0.000,    3.177,    6.523
Cliente_AUTOMETAL S/A,    6.3161,    1.012,    6.239, 0.000,    4.332,    8.301
Cliente_AUTOTRAVI BORRACHAS E PLASTICOS LTDA,    6.7668,    1.013,    6.680, 0.000,    4.781,    8.752
Cliente_AVIBRASIL INDUSTRIA E COMERCIO DE EQUIPAMENTOS AVICOLAS,    5.1085,    1.022,    4.997, 0.000,    3.104,    7.113
Cliente_B GROB DO BRASIL S A IND COM MAQS OPERAT E FERRAMENTAS,    7.2670,    0.701,   10.366, 0.000,    5.893,    8.641
Cliente_BAG RIO ARTEFATOS DE COURO LTDA,    5.3035,    1.081,    4.907, 0.000,    3.185,    7.422
Cliente_BARCELLONA IND COM MOV LTDA,    6.7110,    0.725,    9.252, 0.000,    5.289,    8.133
"Cliente_BARRY CALLEBAUT BRASIL S,A",    8.7233,    0.839,   10.399, 0.000,    7.079,   10.368
Cliente_BAUMER S A,    5.7388,    0.762,    7.533, 0.000,    4.245,    7.232
Cliente_BAXTER HOSPITALAR S/A,    7.8463,    1.012,    7.751, 0.000,    5.862,    9.831
Cliente_BDR INDUSTRIA E COMERCIO DE CALCADOS LTDA,    6.3639,    1.013,    6.283, 0.000,    4.378,    8.350
"Cliente_BECKER S,A,",    6.0959,    0.762,    8.001, 0.000,    4.602,    7.590
Cliente_BECTON DICKINSON INDUSTRIAS CIRURGICAS LTDA,    7.7841,    0.854,    9.112, 0.000,    6.109,    9.459
Cliente_BELGO BEKAERT ARAMES LTDA,    7.7833,    0.854,    9.111, 0.000,    6.109,    9.458
Cliente_BEMIS DO BRASIL INDUSTRIA E COMERCIO DE EMBALAGENS LTDA,    6.8000,    0.832,    8.178, 0.000,    5.170,    8.430
Cliente_BENECKE IRMAOS & CIA LTDA,    6.1387,    0.773,    7.946, 0.000,    4.624,    7.653
Cliente_BENFATTO MOVEIS LTDA - ME,    7.1433,    0.852,    8.380, 0.000,    5.472,    8.814
Cliente_BENQ ELETROELETRONICA LTDA,    9.3054,    0.782,   11.898, 0.000,    7.772,   10.839
Cliente_BENTELER COMPONENTES AUTOMOTIVOS LTDA,    8.2704,    0.724,   11.416, 0.000,    6.850,    9.691
Cliente_BERNARDO QUIMICA S/A,    7.8149,    1.012,    7.721, 0.000,    5.831,    9.799
"Cliente_BERNECK S,A, PAINEIS E SERRADOS",    7.2676,    0.709,   10.255, 0.000,    5.878,    8.657
"Cliente_BERTIN S,A,",    8.1222,    0.637,   12.752, 0.000,    6.874,    9.371
Cliente_BERTOLINI MOVEIS DE ACO S/A,    8.0275,    1.178,    6.813, 0.000,    5.718,   10.337
Cliente_BERTOLINI S/A,    8.2896,    0.725,   11.427, 0.000,    6.867,    9.712
Cliente_BETTANIN INDUSTRIAL SOCIEDADE ANONIMA,    8.6018,    1.013,    8.492, 0.000,    6.616,   10.588
Cliente_BIAGIO DELL AGLI E CIA LTDA,    5.1630,    0.831,    6.210, 0.000,    3.533,    6.793
Cliente_BIC AMAZONIA S/A,    7.5551,    0.898,    8.413, 0.000,    5.795,    9.316
Cliente_BICAL BIRIGUI CALCADOS INDUSTRIA E COMERCIO LTDA,    6.1341,    1.012,    6.060, 0.000,    4.150,    8.118
Cliente_BIG DUTCHMAN BRASIL LTDA,    6.1604,    1.013,    6.082, 0.000,    4.175,    8.146
Cliente_BIGNARDI INDUSTRIA COMERCIO DE PAPEIS E ARTEFATOS LTDA,    6.4709,    0.832,    7.782, 0.000,    4.841,    8.101
Cliente_BINS INDUSTRIA DE ARTEFATOS DE BORRACHA LTDA,    6.2636,    0.832,    7.526, 0.000,    4.632,    7.895
"Cliente_BIOSEV S,A,",    5.6430,    0.966,    5.845, 0.000,    3.750,    7.536
Cliente_BIOTEK MARINE COMERCIO LTDA,    6.8522,    0.977,    7.017, 0.000,    4.938,    8.767
Cliente_BISON INDUSTRIA DE CALCADOS LTDA,    8.5196,    0.763,   11.170, 0.000,    7.024,   10.015
Cliente_BITRON DO BRASIL COMPONENTES ELETROMECANICOS LTDA,    6.6916,    0.832,    8.047, 0.000,    5.061,    8.322
"Cliente_BLANVER FARMOQUIMICA E FARMACEUTICA S,A,",    5.9175,    0.673,    8.791, 0.000,    4.598,    7.237
Cliente_BMB - BELGO MINEIRA BEKAERT ARTEFATO DE ARAMES LTDA,    6.9633,    1.031,    6.754, 0.000,    4.942,    8.985
Cliente_BOBST LATINOAMERICA DO SUL LTDA,    7.6922,    0.701,   10.972, 0.000,    6.318,    9.067
Cliente_BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA L,    6.6321,    0.832,    7.976, 0.000,    5.002,    8.262
"Cliente_BOMAG MARINI EQUIPAMENTOS LTDA,",    8.6503,    1.013,    8.539, 0.000,    6.664,   10.636
Cliente_BON MART FRIGORIFICO LTDA,    5.4991,    0.831,    6.614, 0.000,    3.869,    7.129
Cliente_BORGHETTI - TURBOS E SISTEMAS AUTOMOTIVOS LTDA,    8.3030,    1.013,    8.197, 0.000,    6.317,   10.289
Cliente_BORGWARNER BRASIL LTDA,    7.8609,    0.657,   11.956, 0.000,    6.572,    9.150
"Cliente_BORGWARNER EMISSIONS SYSTEMS LTDA,",    8.5924,    1.012,    8.488, 0.000,    6.608,   10.577
"Cliente_BORRACHAS VIPAL S,A,",    7.9623,    0.674,   11.806, 0.000,    6.640,    9.284
Cliente_BORTOLINI INDUSTRIA DE MOVEIS LTDA,    5.8546,    0.839,    6.977, 0.000,    4.210,    7.500
Cliente_BORTOLLOTI IND E COM DE MOVEIS LTDA,    5.1735,    1.050,    4.928, 0.000,    3.116,    7.231
Cliente_BOSCH REXROTH LTDA,    7.4365,    0.762,    9.761, 0.000,    5.943,    8.930
Cliente_BOTANICA MADEIRAS LTDA,    4.0521,    0.925,    4.383, 0.000,    2.240,    5.865
Cliente_BOTICA COMERCIAL FARMACEUTICA LTDA,    4.6566,    0.811,    5.741, 0.000,    3.067,    6.247
Cliente_BOXFLEX COMPONENTES PARA CALCADOS LTDA,    7.3970,    0.673,   10.984, 0.000,    6.077,    8.717
"Cliente_BR MATOZINHOS FUNDICOES LTDA, EM RECUPERACAO JUDICIAL",    8.3826,    0.791,   10.601, 0.000,    6.833,    9.933
Cliente_BRACELL SP CELULOSE LTDA,    7.5219,    1.012,    7.431, 0.000,    5.537,    9.506
Cliente_BRAGRANITOS COMERCIO EXPORTACAO IMPORTACAO DE GRANITO L,    4.1781,    1.033,    4.046, 0.000,    2.153,    6.203
Cliente_BRALYX MAQUINAS INDUSTRIA E COMERCIO LTDA,    7.0227,    0.838,    8.378, 0.000,    5.380,    8.666
Cliente_BRAMETAL MG METALURGICA LTDA,    6.6697,    1.031,    6.469, 0.000,    4.649,    8.691
Cliente_BRAMEX - BRASIL MERCANTIL S/A,    7.0311,    0.990,    7.104, 0.000,    5.091,    8.971
Cliente_BRANDILI TEXTIL LTDA,    6.5127,    0.773,    8.430, 0.000,    4.998,    8.027
Cliente_BRASCAN QUIMICOS E SOLDAS LTDA,    6.3988,    0.890,    7.191, 0.000,    4.654,    8.143
Cliente_BRASFIBRA FIBRA DE SISAL DO BRASIL LTDA,    5.5973,    0.879,    6.369, 0.000,    3.874,    7.320
"Cliente_BRASFUMO INDUSTRIA BRASILEIRA DE FUMOS S,A,",    9.0914,    1.013,    8.974, 0.000,    7.105,   11.077
Cliente_BRASIGRAN BRASILEIRA DE GRANITOS LTDA,    6.8236,    1.178,    5.791, 0.000,    4.514,    9.133
Cliente_BRASKEM PETROQUIMICA LTDA,    7.1126,    0.685,   10.383, 0.000,    5.770,    8.456
"Cliente_BRASKEM S,A",    8.3324,    0.680,   12.261, 0.000,    7.000,    9.665
Cliente_BRASLUMBER INDUSTRIA DE MOLDURAS LTDA,    9.4654,    0.832,   11.371, 0.000,    7.834,   11.097
Cliente_BRASLUX INDUSTRIA DE AUTO PECAS LTDA,    7.5103,    0.763,    9.847, 0.000,    6.015,    9.005
"Cliente_BRASPINE MADEIRAS LTDA,",    9.8299,    0.763,   12.887, 0.000,    8.335,   11.325
Cliente_BRASTEC TECHNOLOGIES SA,    7.1234,    1.012,    7.038, 0.000,    5.139,    9.108
Cliente_BRASTUBO CONSTRUCOES METALICAS LTDA,    6.5306,    0.832,    7.854, 0.000,    4.901,    8.161
Cliente_BRASWEY S A INDUSTRIA E COMERCIO,    8.3284,    1.012,    8.227, 0.000,    6.344,   10.313
Cliente_BRAZILIAN COLOR INDUSTRIA DE TINTAS E VERNIZES LTDA,    4.5820,    0.832,    5.510, 0.000,    2.952,    6.212
Cliente_BREMIL INDUSTRIA DE PRODUTOS ALIMENTICIOS LTDA,    5.8005,    1.013,    5.726, 0.000,    3.815,    7.786
"Cliente_BRF S,A,",    8.9154,    0.625,   14.275, 0.000,    7.691,   10.140
"Cliente_BRIDGESTONE DO BRASIL INDUSTRIA E COMERCIO LTDA,",    8.6590,    0.629,   13.774, 0.000,    7.427,    9.891
Cliente_BRILAC IND COM DE CALCADOS LTDA,    5.4877,    1.013,    5.418, 0.000,    3.502,    7.473
Cliente_BRINQUEDOS BANDEIRANTE SA,    6.0756,    1.012,    6.002, 0.000,    4.091,    8.060
Cliente_BRPARTS INDUSTRIA DE PECAS LTDA,    2.2539,    1.061,    2.125, 0.034,    0.175,    4.333
"Cliente_BRUNING TECNOMETAL LTDA,",    9.3909,    0.725,   12.945, 0.000,    7.969,   10.813
Cliente_BRUNO INDUSTRIAL LTDA,    6.4100,    0.841,    7.618, 0.000,    4.761,    8.059
"Cliente_BUDDEMEYER S,A,",    5.9223,    0.677,    8.750, 0.000,    4.596,    7.249
Cliente_BUTZKE IMPORTACAO E EXPORTACAO LTDA,    5.7061,    0.738,    7.733, 0.000,    4.259,    7.153
Cliente_C M R INDUSTRIA E COMERCIO LTDA,    6.1096,    0.831,    7.349, 0.000,    4.480,    7.739
Cliente_C S PESQUISAS E PARTICIPACOES INDUSTRIAIS LTDA,    4.3614,    0.776,    5.620, 0.000,    2.840,    5.883
"Cliente_C,C,S, TECNOLOGIA E SERVICOS S,A,",    7.2583,    0.831,    8.730, 0.000,    5.628,    8.888
"Cliente_C,VALE - COOPERATIVA AGROINDUSTRIAL",    6.0092,    0.672,    8.948, 0.000,    4.693,    7.326
Cliente_C-PACK CREATIVE PACKAGING SA,    6.2662,    1.020,    6.141, 0.000,    4.266,    8.267
"Cliente_CABELTE-INDUSTRIA DO BRASIL S,A,",    6.9559,    0.787,    8.844, 0.000,    5.414,    8.498
Cliente_CABLETECH CABOS LTDA,    5.0159,    1.012,    4.956, 0.000,    3.032,    7.000
Cliente_CABOS DE MADEIRAS SOMBRIO LTDA,    4.8447,    1.042,    4.651, 0.000,    2.803,    6.887
Cliente_CACERES FLORESTAL S/A,    3.9519,    1.093,    3.616, 0.000,    1.810,    6.094
Cliente_CAEMMUN INDUSTRIA E COMERCIO DE MOVEIS LTDA,    5.5820,    0.719,    7.759, 0.000,    4.172,    6.992
Cliente_CAF MAQUINAS INDUSTRIA LTDA,    4.7728,    1.033,    4.621, 0.000,    2.748,    6.797
Cliente_CAFE BOM DIA LTDA,    5.0204,    0.750,    6.690, 0.000,    3.549,    6.491
Cliente_CAIO - INDUSCAR INDUSTRIA E COMERCIO DE CARROCERIAS LTD,    8.1545,    0.632,   12.896, 0.000,    6.915,    9.394
Cliente_CAJUGRAM GRANITOS E MARMORES DO BRASIL LTDA,    6.6932,    0.992,    6.750, 0.000,    4.749,    8.637
Cliente_CALCADOS ANDREZA S/A,    7.5047,    0.832,    9.016, 0.000,    5.873,    9.136
Cliente_CALCADOS BEBECE LTDA,    7.3451,    1.013,    7.251, 0.000,    5.359,    9.331
Cliente_CALCADOS BIBI LTDA,    7.5177,    1.013,    7.421, 0.000,    5.532,    9.504
Cliente_CALCADOS BOTTERO LTDA,    8.0350,    0.763,   10.534, 0.000,    6.540,    9.530
Cliente_CALCADOS CHICARONI LTDA,    5.0827,    0.686,    7.409, 0.000,    3.738,    6.427
Cliente_CALCADOS DILLY S/A,    7.4245,    0.702,   10.575, 0.000,    6.048,    8.801
Cliente_CALCADOS ELIANCE LTDA,    6.8702,    1.043,    6.584, 0.000,    4.825,    8.916
Cliente_CALCADOS FERRACINI LTDA,    6.6690,    0.724,    9.215, 0.000,    5.250,    8.088
Cliente_CALCADOS FURLANETTO LTDA,    6.1930,    0.725,    8.538, 0.000,    4.771,    7.615
Cliente_CALCADOS MALU LTDA,    8.3670,    0.763,   10.970, 0.000,    6.872,    9.862
Cliente_CALCADOS MARTE LTDA,    7.8965,    1.013,    7.795, 0.000,    5.911,    9.882
Cliente_CALCADOS MYRABEL LTDA,    6.5726,    0.763,    8.618, 0.000,    5.077,    8.068
Cliente_CALCADOS NIANSO LTDA - ME,    7.3690,    1.034,    7.126, 0.000,    5.342,    9.396
Cliente_CALCADOS PRICAWI LTDA - EPP,    6.8030,    0.665,   10.224, 0.000,    5.498,    8.107
Cliente_CALCADOS Q SONHO LTDA,    7.1173,    0.832,    8.551, 0.000,    5.486,    8.749
Cliente_CALCADOS SAMELLO S/A,    7.0350,    0.724,    9.711, 0.000,    5.615,    8.455
Cliente_CALCADOS SANDALO SA,    5.3229,    0.831,    6.403, 0.000,    3.693,    6.953
Cliente_CALCADOS SANDRA LTDA,    7.4404,    0.725,   10.266, 0.000,    6.020,    8.861
Cliente_CALCADOS YOUNG LTDA,    6.8064,    0.832,    8.178, 0.000,    5.175,    8.438
"Cliente_CALESITA IND, DE BRINQUEDOS LTDA",    6.7527,    0.841,    8.026, 0.000,    5.103,    8.402
Cliente_CALIMAN AGRICOLA S/A-EM RECUPERACAO JUDICIAL,    7.4723,    0.972,    7.688, 0.000,    5.567,    9.378
Cliente_CAMANOR PRODUTOS MARINHOS LTDA,    5.9643,    1.030,    5.789, 0.000,    3.944,    7.984
Cliente_CAMBUCI S/A,    6.8061,    0.762,    8.934, 0.000,    5.313,    8.300
